7d(September 13 - September 19),marketplace_icon_url,marketplace_offcial_site_url,volume_usd,Volumes （ETH）,No of Sales （Sales）,trader_num,Owners  （Buyers）,seller_num,fee_rates,Fee Rate,seven days,Volume,No of  Sales,Owners
Blur,https://static.nftgo.io/marketplace/Blur.svg,https://blur.io/,42333342.93147292,26164.66462531882,31096.0,10510.0,6119.0,6409.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
OpenSea,https://static.nftgo.io/marketplace/Opensea.svg,https://opensea.io/,17068952.701469302,10528.821477454576,72014.0,38820.0,19945.0,23856.0,"[{'title': None, 'min_value': 2.5, 'max_value': 2.5, 'unit': '%'}]",2.5 %,,,,
LooksRare,https://static.nftgo.io/marketplace/Looksrare.svg,https://looksrare.org/,14950675.184032176,9193.503394094285,695.0,457.0,274.0,222.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
Blur Aggregator,https://static.nftgo.io/marketplace/Blur.svg,https://blur.io/,10306816.823183147,6362.011559937719,20560.0,11471.0,4517.0,8028.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
Alienswap,https://static.nftgo.io/marketplace/AlienSwap.svg,https://alienswap.xyz,10190265.739023741,6254.152773761431,906.0,83.0,52.0,49.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
X2Y2,https://static.nftgo.io/marketplace/X2Y2.svg,https://x2y2.io/,5745629.391625667,3540.6699961407016,930.0,530.0,310.0,251.0,"[{'title': None, 'min_value': 0.5, 'max_value': 0.5, 'unit': '%'}]",0.5 %,,,,
Reservoir,https://static.nftgo.io/marketplace/Reservoir.svg,https://marketplace.reservoir.tools/,5190985.926744932,3186.002048245858,1013.0,506.0,278.0,249.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
CryptoPunks,https://static.nftgo.io/marketplace/CryptoPunks.svg,https://www.larvalabs.com/cryptopunks/forsale,2931092.0610218146,1804.4000000000376,27.0,32.0,17.0,17.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
OpenSea Pro,https://static.nftgo.io/marketplace/OpenseaPro.svg,https://pro.opensea.io/,2308522.728504499,1423.742258456108,10688.0,7263.0,3143.0,4762.0,"[{'title': None, 'min_value': 0.0, 'max_value': 0.0, 'unit': '%'}]",0.0 %,,,,
NFTX,https://static.nftgo.io/marketplace/NFTx.svg,https://nftx.io/,600412.0721050242,372.40149182315923,462.0,190.0,126.0,93.0,,--,,,,
,,,,,,,,,,--,Nifty Gateway,10731.215778196934,1914.0,163652.0
