thirty days,Volume,No of  Sales,Average Floor Price,Owners
Player,89071.76369329939,260,838.9644795233822,209
Machine Hallucinations - New York City,6142.802204845532,29,146.501364293955,432
The Legend,2289.0838170930465,15,0.0,14
NEW B. Angel,2024.8283187137179,485,4.944421044920981,255
KNOTS - Fabin Rasheed,915.6335268372186,1,0.0,1
MEMORIA - Fabin Rasheed,732.5068214697749,1,0.0,1
The Siren Collection Stamp,719.8088157195964,32,21.364782292868433,1029
Children At Play,518.8589985410906,52,30.521117561240622,50
The Starbucks® Green Apron Stamp,408.09297953253855,61,4.944421044920981,2070
Holiday Cheer Stamp,407.27379273719487,10,18.312670536744374,525
Machine Hallucinations - Mars - D,366.25341073488744,1,1037.7179970821812,26
A Trebled Man,305.5163867880186,1,4237.551962202648,18
Complexity,305.21117561240624,1,4211.9142234512055,87
John Doe,294.90480463432647,118,17.70224818551956,40
Machine Hallucinations - Mars - A,283.4648793500223,1,10682.391146434218,53
Stigma of Narcissus,274.6900580511656,1,915.5724846020962,17
Machine Hallucinations - Mars - C,274.6900580511656,1,430.3868246439712,34
Baby Fire,270.0545107159644,119,18.251628301621892,38
Liberty,269.2310509641621,118,18.251628301621892,39
Synthetic Dreams by Refik Anadol,256.37738751442123,1,193.5966695356517,491
Machine Hallucinations - Mars - B,249.87883116328186,1,1434.4925253783092,39
To Empower The Unknown Artists: The (OG) Resilient Love ♥️✨ by CL7,246.85724052471906,52,21.364782292868433,122
Player 1 Sushi Pizza #80,244.16894048992498,1,0.0,1
Lotus Train,216.69993468480843,2,122.08447024496249,132
Court Shadows,216.2347928531751,10,0.0,10
FewoWorld Paint,204.18627648469976,7,36.62534107348875,3689
thr33zi3s #1088,203.45376966323,1,0.0,1
The First Store Collection Stamp,200.19533515239195,40,4.5781676341860935,3702
m,197.81896093907375,26,8.85112409275978,21549
The Bitcoin Angel (Open Edition),193.58446108862722,10,21.975204644093246,2305
Awkward Astronauts,179.62593318316942,29,4.272956458573687,7740
A Place of Death and Rebirth,176.77831291470568,57,181.23439607864682,35
Trilogy Green Edition,164.26465471459701,69,6.775688098595418,10
Love and Rockets,158.70981131845124,1,364.3611014460905,57
F,152.60558780620312,1,413.6832274250554,7
C³211,152.60558780620312,1,0.0,1
"cy twombeef, unhinged",151.64173091361914,15,21.303740057745955,9
Alley,140.39714078170687,18,0.0,10
NADIR,137.3450290255828,1,183.12670536744372,10
-oop,132.7668613913967,17,0.0,9
The Emperor,126.32202220716513,1,0.0,1
Pepe Sushi #83,122.08447024496249,1,0.0,1
Nemesi,122.02342800984,1,1709.1825834294748,10
The Canvas,119.52069636981827,22,7.325068214697749,19
Illicit love.,118.29985166736866,10,35.09928519542672,10
FEWO SHOE RARE,112.29878953247751,3,91.56335268372186,172
#0007 大蛇丸：Orochimaru,109.87602322046624,1,0.0,1
Prime Example,109.87602322046624,1,122.08447024496249,87
The Bitcoin Storm,105.29785558628015,25,479181.54571147775,19
Déjà Vu,104.99264441066774,1,213.64782292868435,261
fully lubricated grass,97.84704036723008,14,0.0,9
Two at the Lit Spot,96.26360478815292,11,88511.2409275978,10
CRYPTO TV,95.40901349643818,2,54.25922195567113,247
