collection,floorPrice,numOwners,totalSupply,oneDayTotalVolume,oneDayChange,oneDaySecondaryVolume,oneDaySecondaryChange,sevenDayTotalVolume,sevenDayChange,sevenDaySecondaryVolume,sevenDaySecondaryChange,thirtyDayTotalVolume,thirtyDayChange,thirtyDaySecondaryVolume,thirtyDaySecondaryChange,totalVolume,avgSalePrice,totalPrimaryVolume,totalSecondaryVolume,oneDayNumSecondarySales,oneDayNumSecondarySalesChange,oneDayNumTotalSales,oneDayNumTotalSalesChange,sevenDayNumSecondarySales,sevenDayNumSecondarySalesChange,sevenDayNumTotalSales,sevenDayNumTotalSalesChange,thirtyDayNumSecondarySales,thirtyDayNumSecondarySalesChange,thirtyDayNumTotalSales,thirtyDayNumTotalSalesChange,totalNumTotalSales,totalNumSecondarySales,totalNumPrimarySales,totalMarketCap
"{'niftyTitle': 'Machine Hallucinations - New York City', 'niftyType': 1, 'niftyContractAddress': '0xf95b19c4a2e8564dfd26a594992d9a6aa984ed47', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1635283900/Max/RefikxARTECHOUSE/Machine_Hallucinations_-_NYC_-0001_p0hlhe.jpg', 'staticThumbnailUrl': ''}",265000.00,454,1000,1623800.00,149.82,1623800.00,149.82,5166800.00,45.83,5166800.00,45.83,10063200.00,19.24,10063200.00,19.24,372417294.00,384179.06,198000000,174417294,5,150.00,5,150.00,16,45.0,16,45.0,29,20.0,29,20.0,1444,454,990,265000000
"{'niftyTitle': 'The Legend', 'niftyType': 1, 'niftyContractAddress': '0xfb8a263029c347d14e8cf6878df47bea8a2383b5', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1693567484/publishers/niftygateway_curated/95569/114379/The%20Legend%2060%20x%2080%20cm.png', 'staticThumbnailUrl': ''}",0.00,12,65,630000.00,63000000.00,0.00,0.00,1680000.00,60.00,0.00,0.00,3330000.00,,0.00,,3330000.00,0.00,3330000,0,0,0.00,3,300.00,0,0.0,8,60.0,0,,13,,13,0,13,0
"{'niftyTitle': 'KNOTS - Fabin Rasheed', 'niftyType': 4, 'niftyContractAddress': '0x360cabdb86efeab57232c506573a3bee703f71e6', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1677060050/publishers/MORROWcollective/31945/49105/knots%20video%20square.mp4', 'staticThumbnailUrl': 'https://res.cloudinary.com/nifty-gateway/image/upload/v1677062265/publishers/MORROWcollective/31945/49105/thumbnail/Knots.png'}",0.00,1,1,0.00,0.00,0.00,0.00,1500000.00,0.00,0.00,0.00,1500000.00,0.00,0.00,0.00,1500000.00,0.00,1500000,0,0,0.00,0,0.00,0,0.0,1,0.0,0,0.0,1,0.0,1,0,1,0
"{'niftyTitle': 'MEMORIA - Fabin Rasheed', 'niftyType': 3, 'niftyContractAddress': '0x360cabdb86efeab57232c506573a3bee703f71e6', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1677059252/publishers/MORROWcollective/31945/48909/Memoria_Video%20square.mp4', 'staticThumbnailUrl': 'https://res.cloudinary.com/nifty-gateway/image/upload/v1677059303/publishers/MORROWcollective/31945/48909/thumbnail/Memoria.png'}",0.00,1,1,0.00,0.00,0.00,0.00,1200000.00,0.00,0.00,0.00,1200000.00,0.00,0.00,0.00,1200000.00,0.00,1200000,0,0,0.00,0,0.00,0,0.0,1,0.0,0,0.0,1,0.0,1,0,1,0
"{'niftyTitle': 'Complexity', 'niftyType': 3, 'niftyContractAddress': '0xc7cc3e8c6b69dc272ccf64cbff4b7503cbf7c1c5', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1617754916/Pak/Complexity.mp4', 'staticThumbnailUrl': ''}",6900000.00,87,100,0.00,0.00,0.00,0.00,500000.00,0.00,500000.00,0.00,500000.00,0.00,500000.00,0.00,43784300.00,1925404.35,0,43784300,0,0.00,0,0.00,1,0.0,1,0.0,1,0.0,1,0.0,22,22,0,690000000
"{'niftyTitle': 'John Doe', 'niftyType': 1, 'niftyContractAddress': '0xc374cc5e6b2805d6c6931156c50fbbf53ac2fc93', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694621226/publishers/niftygateway_curated/98407/117747/John-Doe.png', 'staticThumbnailUrl': ''}",7500.00,47,100,22429.00,-94.46,22429.00,-69.89,426929.00,,96929.00,,426929.00,,96929.00,,426929.00,8077.42,330000,96929,3,-66.67,3,-97.25,12,,112,,12,,112,,112,12,100,750000
"{'niftyTitle': 'Liberty', 'niftyType': 2, 'niftyContractAddress': '0xc374cc5e6b2805d6c6931156c50fbbf53ac2fc93', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694621291/publishers/niftygateway_curated/98407/117745/Liberty.png', 'staticThumbnailUrl': ''}",6500.00,46,100,25757.00,-93.35,25757.00,-55.13,413157.00,,83157.00,,413157.00,,83157.00,,413157.00,5939.79,330000,83157,4,-60.00,4,-96.36,14,,114,,14,,114,,114,14,100,650000
"{'niftyTitle': 'Baby Fire', 'niftyType': 3, 'niftyContractAddress': '0xc374cc5e6b2805d6c6931156c50fbbf53ac2fc93', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694621124/publishers/niftygateway_curated/98407/117746/Baby-Fire.png', 'staticThumbnailUrl': ''}",5994.00,44,100,23472.00,-93.69,23472.00,-43.70,395162.00,,65162.00,,395162.00,,65162.00,,395162.00,5430.17,330000,65162,4,-50.00,4,-96.30,12,,112,,12,,112,,112,12,100,599400
"{'niftyTitle': 'Court Shadows', 'niftyType': 1, 'niftyContractAddress': '0x195108d840638d69e8c3e307cd8e5aaf4182b2c7', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694381007/publishers/niftygateway_curated/97615/116590/Court%20Shadows.jpg', 'staticThumbnailUrl': ''}",0.00,10,10,0.00,-100.00,0.00,0.00,354238.00,,0.00,,354238.00,,0.00,,354238.00,0.00,354238,0,0,0.00,0,-100.00,0,,10,,0,,10,,10,0,10,0
"{'niftyTitle': 'F', 'niftyType': 4, 'niftyContractAddress': '0xa53ceab15f40e83e8ab7608d42004daa9ecc4edd', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1619054755/ADaniel/Lushsux/Drawing/F_g0q0e4.mp4', 'staticThumbnailUrl': ''}",677700.00,7,7,0.00,-100.00,0.00,-100.00,250000.00,0.00,250000.00,0.00,250000.00,0.00,250000.00,0.00,7334800.00,367200.00,5866000,1468800,0,-100.00,0,-100.00,1,0.0,1,0.0,1,0.0,1,0.0,11,4,7,4743900
