seven days,Volume,No of  Sales,Average Floor Price,Owners
Machine Hallucinations - New York City,2447.732586176375,12,146.501364293955,432
The Legend,1281.886937572106,10,0.0,14
John Doe,294.90480463432647,118,17.70224818551956,40
Baby Fire,270.0545107159644,119,18.251628301621892,38
Liberty,269.2310509641621,118,18.251628301621892,39
Synthetic Dreams by Refik Anadol,256.37738751442123,1,193.5966695356517,491
Court Shadows,216.2347928531751,10,0.0,10
F,152.60558780620312,1,413.6832274250554,7
"cy twombeef, unhinged",151.64173091361914,15,21.303740057745955,9
Alley,140.39714078170687,18,0.0,10
NADIR,137.3450290255828,1,183.12670536744372,10
-oop,132.7668613913967,17,0.0,9
The Canvas,119.52069636981827,22,7.325068214697749,19
The Siren Collection Stamp,111.09686792291586,5,21.364782292868433,1029
#0007 大蛇丸：Orochimaru,109.87602322046624,1,0.0,1
fully lubricated grass,97.84704036723008,14,0.0,9
m,96.26360478815292,12,8.85112409275978,21549
mainstream adoption,92.67065882884367,8,54.20550478876334,6
eOTC Ship It Award,91.56335268372186,1,0.0,19
after fucking the grass,91.00847876645851,13,15.19951654549783,8
beef by dre,85.89924368670682,15,25.63773875144212,9
"drink more water, that will be two hundred dollars",81.56768668241556,15,14.650136429395499,9
how to succeed in non-fungible fuckery,79.84324354020546,14,0.0,9
FEWO SHOE RARE,78.72556021511284,2,91.56335268372186,172
euthanize war,74.85059912953773,12,0.0,9
death of pepe,73.69690088572283,9,0.0,6
BROKEN//,73.2506821469775,1,518.8589985410906,17
Meatrise,71.67640290316871,12,12.940953845966023,9
meat captainz,70.88285384657644,14,5.291751362767899,9
piss soaked revolution,70.71132516588227,8,36.32012989787634,6
fredenza krueger,69.80851050842078,11,71.84671073916043,9
yellen saves the economy,68.04805244748842,13,8.85112409275978,8
landscape climax,67.89178432557486,12,17.09182583429475,9
Brain Cloud,67.14645863472937,1,1526.055878062031,10
goodnight moon,66.17405582922824,6,0.0,3
nakameatgo sixty nine,65.14488374506321,13,28.6410167194682,9
last gn,64.28601949688989,10,0.0,6
asszuki number two,63.37038597005268,8,15.19951654549783,6
FEWO SHOE LEGENDARY,61.042235122481245,1,6043.181277125643,82
The Bitcoin Storm,58.96679912831688,14,479181.54571147775,19
papa bowls are back,58.12502670597787,11,0.0,9
the same day until we die,56.90418200352824,11,0.0,9
before the grass was fucked,56.29375965230343,11,0.0,9
warren's army official unlicensed rare pfp,56.29375965230343,11,16.420361247947454,9
saturn devouring ass,55.317083890343724,11,18.312670536744374,9
wen’t missing,54.93801161023312,1,299.1069521001581,8
thank you for your service,54.786626867129364,12,10.682391146434217,8
STRIFE,54.388631494130784,9,0.0,9
make meat not war,54.27509293680297,7,42.72956458573687,6
asszuki number four,54.03519695277162,11,14.77222089964046,9
L0G1ST1CS v.02,53.0457023214362,1,213.64782292868435,25
asszuki number three,52.63122554495455,11,0.0,9
open slipepeknot,51.04412743177004,11,0.0,9
meat manager is in,50.49474731566771,10,21.364782292868433,9
filet meatdrian composition of strip malls,49.3874411705459,4,73.2506821469775,3
fuckable forge,48.05305791076846,10,6.40943468786053,9
a humble offering,47.852228957215495,8,0.0,6
asszuki number seven,47.442635559543646,10,7.630279390310156,9
verified fucking meat,47.442635559543646,10,12.147404789373768,8
The Starbucks® Green Apron Stamp,47.24668998480048,9,4.944421044920981,2070
rare internet land,46.16074862197154,10,7.935490565922562,9
portrait of web three,45.668137784533116,8,0.0,6
asszuki number six,45.013154601668894,10,14.039714078170686,9
sbarros garlic slipknot,44.329481568297105,10,5.188589985410906,9
last summer,43.222175423175294,4,170.91825834294747,3
fuckable big mouth bass,38.28630029117146,9,18.251628301621892,9
never gm alone again,38.28630029117146,9,6.714645863472937,9
asszuki number one,38.28630029117146,9,7.630279390310156,9
abeef road,38.28630029117146,9,75.32611814114185,9
The Bitcoin Angel (Open Edition),38.273481421795736,2,21.975204644093246,2305
high school employment opportunity,37.73264721861056,7,60.73702394686884,6
"Ok, but the real jungle is outside",37.54097460032597,2,34.1836516685895,149
The First Store Collection Stamp,37.1728899225374,8,4.5781676341860935,3702
FewoWorld Paint,34.671989549569346,1,36.62534107348875,3689
Holiday Cheer Stamp,33.573229317364685,1,18.312670536744374,525
Revenge of the Nation State,31.726701704909626,2,19.838726414806406,581
Extrusion,31.43675108807784,1,54.87696937511064,327
Realizing the Future and Screaming,30.46007532611814,1,0.0,1
TREAD,30.215906385628216,5,0.0,6
Satoshi Sushi #84,28.262554861708814,5,0.0,5
Liquid Summer,24.416894048992496,1,60.43181277125643,90
Starbucks® Odyssey Avatar Collection,20.717734600570132,14,1.1598024673271436,2965
daofork,18.312670536744374,1,61.042235122481245,42
Fitty Mao,18.312670536744374,1,18.312670536744374,56
Tears,17.580163715274598,1,18.312670536744374,105
FACES,15.993065602090086,4,5.371106268427124,2656
ΠΑΘΟΣ,15.870981131845124,1,24.355851813870014,174
LOAD$ OF FUN,15.260558780620311,1,0.0,9
Muga x Des Lucrece,14.924826487446664,4,7.630279390310156,207
THE LAST SUPPER [FINAL],14.650136429395499,16,610.36130898969,13
FLOW,13.73450290255828,1,17.030783599172267,230
Trump,13.429291726945873,17,976675.7619596999,12
transaction is salvation,12.762100097057154,3,0.0,3
GINZA,12.635742670353617,9,0.0,9
Lust,12.208447024496248,1,0.4272956458573687,21
SUBM3RGE,12.055841436690045,1,21.364782292868433,117
Awakener,11.699354783574755,1,0.0,5
Code Classic,11.29281349765903,1,11.475940203026473,47
Chaos,10.682391146434217,1,16.481403483069936,87
Space Station,9.485963338033585,20,0.0,9
Needle Epic,9.22409214935814,1,18.312670536744374,25
Magic Kitchen,9.156335268372187,10,0.0,8
SHIBUYA,9.156335268372187,3,0.0,4
GREY,9.156335268372187,15,0.0,9
The Alchemist,9.095293033249705,4,0.0,5
Code Epic,8.342031851838287,1,17.64120595039708,33
Bomb Epic,8.240701741534968,1,19.533515239194,27
Ash Chapter Two: Metamorphosis,7.935490565922562,1,9.758822129031076,2206
Rocket Classic,7.731609500613474,1,27.46900580511656,31
The Garden's Protector,7.630279390310156,25,0.9156335268372187,17
odontophobia,7.630279390310156,1,7.630279390310156,87
preserve my legacy,7.325068214697749,1,33.87844049297709,58
Bomb Legendary,7.325068214697749,1,36.62534107348875,16
HARAJUKU,7.325068214697749,3,0.0,4
7th day of the 7th month - (Summer),7.202983744452787,2,0.0,2
Alottaship Classic by Alotta Money,7.080899274207824,1,30.521117561240622,79
Jade Purple Brown Airdrop Stamp,6.7750776762441935,4,2.075435994164362,2254
Gold,6.714645863472937,1,21.364782292868433,356
PEACE,6.40943468786053,1,12.208447024496248,134
Doing Good Journey Stamp,6.376471880894391,9,0.6714645863472937,4475
Cloud 9,6.104223512248124,1,18.007459361131968,142
Diversified Funds,6.104223512248124,1,44.86604281502371,44
ReFurbished Q.T.,6.104223512248124,1,54.87696937511064,21
Oreon Space Cargo,6.104223512248124,10,14.650136429395499,6
Boss Fight Animated + 1/1 NFT,6.043181277125643,1,24.355851813870014,37
The Oath by Trevor Jones x Apollo Ent.,5.642744214722166,10,0.16481403483069937,18631
Wander,5.4938011610233115,6,83.56681988267682,4
Nescofe Asteroid Miner,5.4938011610233115,9,0.0,6
Fanto Star Fighter,5.4938011610233115,9,0.0,5
Awkward Astronauts,5.371716690778349,2,4.272956458573687,7740
Chrome Boombox WHT 2.22.2022,5.188589985410906,1,6.043181277125643,22
Insufficient Frames,5.127547750288424,7,0.0,7
VIP,4.943810622569756,2,2.9892382539479065,1392
WEB3 CULT,4.8833788097985,1,15.321601015742791,10
The Trump Crusader: A Presidential Gotham Tale,4.8833788097985,8,610.4223512248125,8
JokerMickey,4.810128127651522,8,42.302268939879504,7
Spirit,4.700252104431056,1,15.260558780620311,134
Ethereal,4.5781676341860935,3,0.0,3
manic - negative mindset,4.5781676341860935,3,30.521117561240622,3
Vivid,4.5781676341860935,3,0.0,3
ZEN PROTOCOL,4.5781676341860935,1,30.46007532611814,15
Aurora,4.5781676341860935,3,0.0,3
George Washington,4.5781676341860935,5,0.0,4
Money Talks-Marilyn,4.272956458573687,2,0.0,2
„482 MG“,4.272956458573687,1,6.104223512248124,672
asszuki number five,4.254033365685718,1,0.0,1
Algorithmic Despair,3.6625341073488746,3,780.6691449814126,3
SNITTEN KITTY,3.6625341073488746,1,39.67745282961281,50
PEPE FOREVER,3.6625341073488746,3,181.23439607864682,2
SuperMickey,3.6075960957386415,6,0.0,5
Renaissance - (Spring).,3.6014918722263936,1,0.0,1
Signature Showdown Journey Stamp,3.478186557278981,4,0.9150231044859939,3972
Karma Key 2,3.390896161053833,1,10.682391146434217,285
DUSK WHISPER,3.387844049297709,5,0.0,5
LET COLORS IN,3.387844049297709,5,0.0,4
NIGHTFALL LULL,3.387844049297709,5,0.0,5
Orange Monument Mask,3.3573229317364683,2,0.0,3
CLOSE,3.3573229317364683,1,11.353855732781511,274
Karma Key 5,3.3573229317364683,1,10.682391146434217,242
Tablet Of Hermes,3.3573229317364683,1,0.0,2
BONUS GIF,3.3573229317364683,10,1.526055878062031,6
ROKO'S BASILISK,3.1741962263690247,1,6.043181277125643,95
Fishbowl,3.1131539912465436,3,1.8923092887969186,15
Nokia,3.052111756124062,25,0.30521117561240624,12
manic - everything I lost,3.052111756124062,2,0.0,2
Monument Mask,3.052111756124062,2,0.0,3
The Crown,3.052111756124062,1,6.104223512248124,379
Dinner Party,3.052111756124062,5,42.66852235061439,5
manic - my curse,3.052111756124062,2,0.0,2
Surrender,3.052111756124062,2,30.521117561240622,2
Investment Portfolio,3.052111756124062,1,29.605484034403403,35
A Door To The Sun,3.052111756124062,1,30.521117561240622,22
WHITE POOH,3.052111756124062,5,4.5781676341860935,4
RAINBOW POOH,3.052111756124062,5,4.5781676341860935,5
ThorMickey,3.0063300797822015,5,0.0,4
BatMickey,3.0063300797822015,5,0.0,4
HulkMickey,3.0063300797822015,5,42.302268939879504,4
Is This Real?,2.9300272858791,4,0.0,4
World of Coffee Journey Stamp,2.92880644117665,5,0.6104223512248125,7923
Noi,2.8689850507566184,1,4.211914223451206,33
Coffee Heritage Journey Stamp,2.7884093003949433,4,0.6696333192936192,17686
BONUS POOH,2.7469005805116558,15,1.8312670536744373,6
ZEUS,2.7469005805116558,3,3.6625341073488746,3
Aku's Rocket Journey Stamp,2.7450693134579813,3,1.0371075747309564,6163
SUNRAY TOUCH,2.7102752394381673,4,0.0,4
PRESIDENTS POSTER,2.6858583453891747,5,0.0,5
A smile worth ALOTTAMONEY,2.684637500686725,6,0.5493801161023312,4279
High Intuition,2.563773875144212,14,1.220844702449625,9
Liliths Dream,2.44168940489925,4,0.0,4
BLUE POOH,2.44168940489925,4,0.0,4
The Alchemist 2,2.44168940489925,2,0.0,7
Slay at Home Dad,2.44168940489925,4,3.052111756124062,4
The gentleman,2.44168940489925,4,60.98119288735876,4
Mother of Skulls,2.44168940489925,4,9.156335268372187,1
Artificial Dreams,2.44168940489925,2,0.0,2
Abraham Lincoln,2.44168940489925,4,0.0,4
All Seeing Eyes,2.44168940489925,1,0.0,1
The Monument Mask,2.44168940489925,1,0.0,1
Mutant #1,2.44168940489925,4,0.0,4
BLACK POOH,2.44168940489925,4,0.0,4
Sunbathe on Neptune,2.3806471697767684,1,2.3806471697767684,50
Angelic Team Edition NFT,2.2243790478632164,7,6.043181277125643,24
FAMILY TREE,2.14868667631134,4,0.0,2
Detritus #22,2.1364782292868436,1,0.0,4
SAINT,2.1364782292868436,1,3.9067030478387994,183
7. Sense,2.1364782292868436,5,30.521117561240622,5
Cat in the Stars,2.1364782292868436,7,9.156335268372187,7
Kranky: Metal as Fuck Gold Edition,2.1364782292868436,1,6.104223512248124,45
Mad Rabbits Burrow Pass,2.1364782292868436,2,1.4039714078170686,1376
HOLYE CRAPS,2.1364782292868436,1,1526055.878062031,3
Money Talks-Betty,2.1364782292868436,1,35907.218244303236,1
Boonji Project by Brendan Murphy,2.1364782292868436,1,4.598311571776512,3482
Money Talks-Jessica,2.1364782292868436,1,0.0,1
Going Places Journey Stamp,2.1022945776182542,4,0.5487696937511064,3488
BONUS GIF,2.014393759041881,6,2.44168940489925,4
Marigold,2.014393759041881,3,152.60558780620312,15
Prison #3,2.0137833366906563,1,4.700252104431056,7
A Blossoming Presidency,1.9838726414806405,5,0.0,6
Nurse Strong Arm,1.9533515239193997,4,1.220844702449625,2
The Bean to Cup Journey Stamp,1.8923092887969186,3,0.6098119288735876,5753
YOU and YOURSELF,1.8733861959089493,1,457816.76341860933,1
Chastity Varieties,1.8312670536744373,3,42119.14223451206,2
The Myth of Sisyphus,1.8312670536744373,1,0.0,2
Mutant #2,1.8312670536744373,3,0.0,3
Eye Opening #2,1.8312670536744373,1,2.8079428156341373,217
Tiny Trump,1.8312670536744373,10,0.0,10
YELLOW POOH,1.8312670536744373,3,0.0,3
Out Of My Mind,1.8312670536744373,1,2.3196049346542873,271
POSEIDON,1.8312670536744373,2,3.6625341073488746,2
Barack Obama,1.8312670536744373,3,0.0,3
Remember what i feel,1.8312670536744373,3,9.156335268372187,3
"Gather Ye Rosebuds, Beyotch",1.8312670536744373,1,0.0,2
John F. Kennedy,1.8312670536744373,3,0.0,3
Discovery of Peace,1.8312670536744373,3,0.0,3
Nostalgic Place,1.8312670536744373,3,0.0,3
scream,1.8312670536744373,2,0.0,3
Ronald Reagan,1.8312670536744373,3,0.0,3
PepeForever(Cover),1.8312670536744373,3,22.52458476019558,2
Mutant #4,1.8312670536744373,3,0.0,3
George W. Bush,1.8312670536744373,3,0.0,3
skyline,1.8312670536744373,3,0.0,3
Meka Hell,1.8312670536744373,3,60.98119288735876,3
BONUS: AI Jack,1.770224818551956,1,1.526055878062031,13
Between Two Worlds,1.770224818551956,1,12.147404789373768,10
Daisy Whiskerfield,1.770224818551956,1,0.0,2
