NO,Volume,% Change,Floor price,Sales,% Unique owners,% Items listed
1,31K ETH,+95%,24.76 ETH,"1,192",56%,2%
2,24K ETH,+124%,4.96 ETH,"4,505",59%,2%
3,12K ETH,-53%,3.60 ETH,"2,923",29%,0.75%
4,"7,845 ETH",+93%,2.74 ETH,"2,474",36%,2%
5,"6,919 ETH",+23%,3.95 ETH,"1,744",43%,2%
6,"5,555 ETH",-4%,—,92,37%,0%
7,"4,833 ETH",+495%,36.97 ETH,137,25%,0.47%
8,"3,868 ETH",-0.96%,4.11 ETH,974,51%,2%
9,"2,966 ETH",+29%,1.70 ETH,"1,744",54%,2%
10,"2,737 ETH",+114%,0.67 ETH,"3,947",49%,2%
11,"2,496 ETH",+27%,3.29 ETH,634,42%,0.74%
12,"2,466 ETH",+495%,52 ETH,53,18%,0.25%
13,"2,224 ETH",-14%,0.41 ETH,"3,720",26%,3%
14,"2,161 ETH",+27%,0.59 ETH,"2,707",27%,3%
15,"2,037 ETH",+71%,1.36 ETH,"1,358",49%,4%
16,"1,843 ETH",+63%,0.29 ETH,"5,342",29%,7%
